English,Nyishi
and continued walking ,wdul doonum 
Many frogs got squashed under the elephant's feet ,Svtwg lvpia niikumho naleqgo tvtwqkam caajabl caaxnum 
Those who survived shed tears over their near and dear ones who had died ,Sikbo tulu gab swwl doonbo tulungv bulub ajin tulu gab xabnum 
They were also very angry and wanted to take revenge ,Bulv vc loodab hang lengnum hoo bulv kwly naadwb mwwnum 
They began to discuss among each other but could not think of a want to kill or even harm their mighty enemy ,Bulug pengkoho bulv hwwmin sunum hvbmabde bulv ham mengnyi kamanum hoo hwdgo dortbo bulug nyemaq ham hog mvnyi maanum 
"One of the frogs then suggested,","Tvtwq tulug pengko hoqgv tvtwq twqgwn benum,"
 I have a bee friend ,“Ngo tong ajin ak doodwn 
I'm sure she will help us ,Ngo mwwjwdo mwn ngulam svka yin pv 
The other frogs wondered how a tiny bee could do anything to such a large animal ,Tvtwq asaqkv mwwmo-sooso benum hoggub nyil tong cici koonbov hwdgo dortbo svdinam hog mvnyi tayin 
"however, since neither of them ,","Hvbsujaqkam bulv hog asaq mwwlin maanum,"
"could think of any better idea,","hoo ham alyanbo pagoq gokam mwwcoq maanum,"
they agreed with the frog ,hoqgab bulv hoq tvtwq hoqg benam mam loomin gvnum 
The frog then met the bee friend ,Tvtwqhv tong ajinam kvvrwqnum 
He narrated how an enraged elephant had ruthlessly squashed their family and friends under his feet while they jhelplessly watched from a distance ,Hang lengnbo svt hoggub bulug imiq dvpar ramla bulug ajin tulungam mwwg lvpia uraho aya mwwpa maab caajabl wnam mam mwv aadoho dootwl kaanam gonam mwv xwwkinum 
The bee and the frog then discuss and devised a plan to take revenge on the elephant for killing for frogs ,"Ho Tong ngvla tvtwqhv, tvtwq ajin tulungam mengn bo svt dorham hoggub jaq kwly naak yin dvn ham hwwbwq kunum "
"Fiding a suitable time,","Albo moodam kaaiyal doonum,"
"when the elephant was resting,","hwdlo svthv doonu yukho,"
the bee flew towards his ears ,tonghv mwwg nyuru dookub jaranum 
"The moment the elephant opened his eyes,","Ho hwdlo svt vnyiqkv nyiqbio kalam twqda,"
she stung him in both the eyes one by one ,tongngv svt vnyiq nyiqny-nyiqnyiam ponnum 
This blinded the elephant ,Hvb nyigam gab svtv nyiqcanum 
He cried out in pain and began to sway from side to side ,Mwv vc layil vc jaqb xabnum hoo taqg-loosaqb tobkub-tabxeql yvnum 
He started searching for water to be able to wash his eyes ,Mwwg vnyiqkam iss hwrxaqdvb mwv iss meekarnum 
He could not see anything and followed the sounds around him groaning all the time ,Mwv hog akkam kaapa maanum hoo mood mwlwho tvtwq kodoql yal duka hvvnam wl yvnum 
He could not find his way ,Mwwg lamtangam mwv kaapa kumanum 
Sometimes he stumbled upon large stones and sometimes banged against trees ,Lok-lokob mwv pwtbo wlw tuluho dwqtupnum hoo lok-lokob svvn tuluho tubgaql yvnum 
All the frogs gathered around a large deep pit ,Tvtwq mwlwngv ung uut rarabo bviywr golo 
They started croaking loudly so that the elephant would feel that he was near water ,Bulv kodoq doql doonum vc jav Svtv mwv iss lwkw gol yvdwn hvbjaq mwwda 
The elephant indeed belived it and made his way towards the sound ,Svtv mwv Issiv hoqho dood dede mwwnv svtv hoq lamatab mwv wknum 
"As planned by the frog and the bee,","Tvtwq kvla tongngv hoggub hwwmin suknum,"
he fell inside the pit and was deeply hurt ,hvbjaq mwv ung urab yoqlwqnum hoo mwv vc loodab hentwr hengknum 
All the frogs and the bee rejoiced as they knew that the elephant would meet the fate of the frogs that he had killed ,Svtv tvtwq twqtaqkam mwv meng gam gab mwam soq gorgy sam baqm gvi nvbo hvl tvtwq twqtaq kvla tongngv hemp poknum 
The Musical Donkey,Bemin benbo Svdam
"In a dense forest,","Nyoro rodw golo,"
"long ago,","Kol oiyuho,"
there lived a donkry and a fox ,svdam dorg la siyali dorg doonum 
They both were good friends ,Vnyiv albo ajin jinbwb nyinum 
One night they walked past an orchard that was full of juicy fruits ,Ai golo vnyiv nyebia jaqb wdul dooiyikho nyiyuq pujuqbo aaxy boolu golo wpeqnum 
They stoped to have a look ,Bunyiv doqnu tvl ham kaanum 
Their mouth pbegan watering ,Ho bunyig agamho tacorv lengnum 
They both decided to steal fruits from the orchard and eat them ,Vnyiv aaxy boolu hoqgv dvcol dvdwb hwwbwqnum 
They sneaked into the orchard and started plucking and enjoying ripe fruits ,Vnyiv boolu urab cooikab haalayil hoo aaxy nyinyin boam punv dvnum 
They had their fill and decided to rest under a tree ,Bunyiv dvdeq dvb dvnum hoo svvn niikumho doonu dvb hwwbwq kunum 
"The donkey said delightfully,","Svdam dorhv nyirs-puiyumnv benum,"
These fruits and this moonlight is making me very happy and rhythmic…,“Soq aaxy tulu si la soq pool huto si ngam hemp jaqb bemin binw mvdo…
I feel like singing   ,Ngo bemin binw do ”
"The fox tried to stop him,","Siyali akv mwam mvturdvb nyikanum,"
"Pleas don't sing,","“Kv-v bema jijaqbv,"
"you may wake up the guard, ","no boolu rvkyboam bihu tai yi hvl,”"
he warned ,mwv belamnum 
But the donkey did not listen ,"Hvbmabde svdamv hvraqb liil doodunum,"
He went on ,ho mwv tangam jaqb bemin bednvbo hvl mwv mwwnum 
" The farmer may come,",“Kv-v rongo atv haata yikv ”
 the fox again stopped him ,"“Siyali hv lokta benum,"
"But the donkey started braying,","Hvbmabde svdamv hvraqb liil doodunum,"
he thought he was singing a meldodious song ,ho mwv tangam jaqb bemin bednvbo hvl mwv mwwnum 
The farmers heard the donkey's voice and came running with sticks in their hands ,Rongo at tuluhv svdamg yalam tapanum hoo bulug alaqho svvda bvvlayil xarlin nyanum 
The fox hide himself behind the bushes ,Siyali akhv nwmw niikumho atv mwv kvsnum 
The donkey was too frightened when he saw them and just stood stoned ,Mwv hwdlo bulam kaapa yin svdamv bosil lamngaqkunv mwv doqdunum 
The farmers and his men beat the donkey really hard ,Rongo at tulu ngvla mwwg nyi tulungv vc loodab svdam mam jwwnyaql mvnum 
The donkey cried badly everytime he was hit with the stick ,Hwdlo svdam mam svvda lvgab gv apoho jwwdaq yin mwv sogoq circirl xabnum 
He tried to run away but thet were too many to allow him to escape ,Mwv keleqdvb nyikanum hvbmabde nyiingv mvqlw ko-gab mwv keleq nyok maanum 
"The fox,","Siyali akhv,"
"who was hiding in the bush,","Nwmw niikumho kvsil doonbo nge,"
saw the men going out of the orchard ,nyi tulungv aaxy boolu hoqgv wknam mam kaapanum 
They had tied the donkey to a heavy rock ,Svdam akam bulv wlw put rarbo wlw golo rwwtul apnum 
The fox went to meet the donkey ,Ho Siyali ak hv svdam mam kvvrwqtab wnum 
"He was severely injured The fox felt pity and said,","Mwam vc loodab un baqmnum  Ho siyali akv anya mwwpanv benum,"
 so you like the prize your singing got you? ,“Noqg bemin bejo akiam no naapa ku i?”
The donkey now regretted his singing and wished he had listened to his friend ,Svdam ak hv mwwg bemin benam mam mwwkurv lwwyw kunum hoo mwwg ajin benam mam tanyi loqkam mwv alsuba de hvl mwwknum 
The Shepherd Boy and the Wolf,Sviya Rvkybo Ko Ak la Svca Dorg
Once upon a time there lived a shepherd Boy who took his flock of the sheep everyday tograze on the top of a hill not far from the village ,Lok mood golo nampam hoqgv aado yoomab yorn puutu golo sviya rvkybo ko akv mwwg sviya pvtwngam aal looxiam hoqho ww dvmdvb bool yvgnum 
He would spend the entire day watching the sheep graze ,Aal loopwngam sviya tulungam ww dvmtvl mwv kaal yviyanum 
"He had no company to talk to and so,","Mwv agam goobam ajin doomanum hoge hoogav,"
he found his work vert boring and monotonous ,hoo bon nyinam akinam nyigam gab mwwg bon nyinamho mwv jaama-paqmnum 
"One day,","Aal loog golo,"
"for sheer amusement,",hogloq ak luusaq jaqb nyidwb mwwnum 
"He stood on a rock and started screaming,","hvl mwv wlw ao golo daqtwl sogoq kiirnum,"
 Help! Help! A wolf is chasing my sheep ,“Svka tvbv! Svka tvbv!” Svcangv ngoqg sviyanagm ruqmin gvdo 
Help! Help! ,“Svka tvbv! Svka tvbv!”
The farmers working in the nearby fields heard his voice ,Bviywrho rongo mvnbo tulungv mwwg yalam tapanum 
They ran with sticks in their hands to rescue the sheep ,Bulub alaqho svvdangam bwwtwl sviyangam ruqpy taab bulv xarlinum 
"When they reached the hill top,","Hwdlo bulv yorn puutuho wc yukho,"
they were shocked to see shepherd boy laughing ,sviya rvkybo ko akam bulv nyirminl doodwb kaapanum 
Oh! I was simply playing a prank on you ,“Oo ngo nulam xaalyol bik-bemaql bekanum 
"I have been able to fool you,","Ngo nulam paca dvb mvtknun,"
 he mocked ,Mwv bej-beparnv 
"Hearing this ,","Ham tapa tvl,"
the farmers became very angry and felt insulted ,rongo menbo tulungv vc loodab hang lengnum hoo bulam bej-bepar pa mwwnum 
The eldest man among them warned the shepherd boy not to repeat his mischief in futuer ,Mwlwngam akam yaanbo nyiixa akv sviya rvkybo ko akam bepa no soq sib xaalyol bik-bemaql kuiyum mam lokam bek maab hvl benum 
"After a few days,","Meeg aal kokwso,"
it so happened that a wolf really came to the hill top ,jvqtw jaqb svcangv yorn puutuho lengnum 
Seeing the flock of the sheep he pounced on them ,Sviya pvtwngam kaapa tvl svcangv bulug pengko juqlinum 
All the sheep started running here and there to save their life ,Sviya pvtwngv atv kipy sudwb mwlwngv cirsaq twqb toloq-boloqb kenum 
The shepherd boy too got scared and run for his life ,Sviya rvkybo ko hvvkam bos kunum hoo mwwg swwg gab mwvkam kenum 
"He went to the edge of the hill,","Mwv puutu niqtuq galo xarlin layil,"
"which faced the village,","nampam daiyab coonbo hoge,"
"and shouted,","sogoqnv benum,"
 Help! Help! A wolf is eating my sheep ,"sogoqnv benum,Svka tvbka! Svka tvbka! Svcangv ngo sviyangam duiyum gvde ku "
Please come fast ,Kvlv nyebia jaqb caat bvka 
 He shouted his lungs out as he was desparate for help ,"Mwv vc loodab vs-axaq ko-gab, mwv exin-arinv jarlin tvl svka tvbwk hvl sogoqnum "
"The farmers heard the shepherd boy's scream,","Rongo mvnbo tulungv sviya rvkybo ko hoqg sogoqnam mam tapa sunam,"
"but this time they just looked once in the direction from where the voice was coming and said,","hvbmabde kenlob hvb bulam nyitayin mwwnv bulv mwam svka taab xarca maanum,Hogloqkv yalv duanum hoqb bulv lok nywkurl kvvtwqnum hoo benum,"
 He cannot fool us again  ,“Mwv ngulam lokta pacab mvnyi kuram ”
They unanimously decided to get back to work and began ploughing their fields again ,"Bulug bon nyitwngam bulv nyidul doonum, ho hiyvkam wma dvb hvl bulv bibwqnum hoo bul atwg rongoho hal toqdul doonum "
"As no one turned up for help,","Hiyvkam svka taab wmanum,"
the shepherd boy somehow saved himself from the wolf by hiding inside a windmill ,hoqgab sviya rvkybo ko akv mwv svca hoqgv kegin layil mwv dooi mvlinko nam ura golo kvsil doonum 
From there he saw the wolf kill his flock and relish them heartily ,Hoqgv mwwg sviya pvtwngam svcangv cexwl bulam dvmin doonam mam mwv kanum 
"Thereafter,","Hoq kokwb so,"
the wolf hopped down the hill ,svcangv yornwb poqpol wleq kunum 
"In the evening,","oiyum dwkho,"
the shepherd boy returned to the village with the remaining sheep ,Dvngo sviya pvtwngam oiyum nampamb sviya rvkybo ko akv hookur gvknum 
"The farmer who had warned him saw his condition and asked,","Rongo mvnbo ak mwam beo-belamnum hoo mwwg vs-axaqkam kaatwl mwv toxnum,"
boy? Where are the rest of your sheep? ,"ko, hoggv nam nyinum? Noqg sviya tuugin hoqloq mvpeen?”"
The shepherd boy narrated the entire incident to him in a gloomy voice ,Sviya rvkybo ko akv mooxa-kaiya tvl hog mwlw nyiknam mam mwv xwwkin kunum 
"The farmer said,","Rongo mvnbo akv benum,"
" Son, I have warned you earlier ","“Ngo ko, kenlo nam ngo beo-belamnum "
"If you do not fooled the farmers before,","No otuqho rongo mvnbo tulungam paca mvpa manyiloqkam,"
they would have believed you today and rescued your sheep  ,sool buv nam tvjwl hoo noqg sviya pvtwngam ruqpy jib nvpv ”
"The shepherd boy,","Hoq hoqgv sviya rvkybo ko akv,"
"who had now learnt a lesson,","hog cens ak cengknum,"
decided never to fool people again ,hoo nywywngam nyiilungam bik-bemaql paca mvpa kuram hvl dingr kunum 
The Cat's Judgement,Haas akwg Pw-hwwnam
There once lived a bulbul in adeep forest who was very hard working ,Lok golo kwrw jaqb bon nyinbo biituam koota pvta ak nyoro rokam golo doonum
She had built a nest on alarge peepal tree ,Swwxw svvn nwwt rara golo mwnwg osup pam supnum 
She had been living there for many years ,Hoqho mwn vnyw naleqgo dooknum 
She was kind and all the little animals and birds were her friends ,Mwn mwlwngam ayanum hoo anyo-amaqbo svdin tulu ngvla pvta tulungv mwnwg ajinb nyinum 
"One day,","Aal loogolo,"
the bubul left her cazy little nest and went in search of food ,biitum koota pvta akv mwn anyo koon osup pam apaqpel dvs meegaqtab wnum 
She travelled for many long hours ,Mwn vigo aadob jarl wnum 
At last she reached a big field of barley ,Mwn jard-jard kunv vtwr-anyaho am rongo rwqt albo dook golo jvrcnum 
It was harvest time and the barley were fully grown ,Hoqhv am nvvd moodwb nyiknum hoo ammv akam kamtv tvl dooknum 
The bulbul was very fond of it ,Biitum koota pvta akv ham dvdwb aby jaqnum 
"So, she ate as much she could ",Mwn hog hwdgo dvla dvn hwdgo dvnum 
She made friends with the other birds who had also come there in search of food ,Hiyv hoqham dvtab hoqho haanbo pvta asaq tulungam kam mwn ajinum 
She stayed in the field for many days ,Mwn oiyu moodgob hoq rongoho dvl doonum 
"While the bulbul was away,","Hwdlo biitum koota pvta akv wleq yikho,"
a rabbit who was in search of a home found her empty nest ,buut kubu ak dvs meegaq bov hoq pvta ak hoqg assarbo osup pam kaapanum 
The rabbit liked the bulbul nest a lot ,Buut kubungv biitum koota pvtag osup pam vigo aby dvn 
So he made it his home and started living here ,Ho hoqham mwwg nam gob mvtkul hoqho mwv doorab kunum 
He was very happy and all the birds and animals around became hid friends ,Mwv vigo hempnum hoo mwwg bviywr-bvcwrho doonbo pvta ngvla svdin tulungv mwwg ajinb nyiknum 
"When the bulbul came back,","Hwdlo biitum koota pvtangv hookur yukho,"
she got very angry to find the rabbit living in her nest ,buut kubu akv mwnwg osupho doonum hoqgab mwn vc jaqb hang lengnum 
 Who are you?,No hiyv?
why are you here? Fool! Leave!,No hog-gab so doodwn? Paca! Wtuk!
"This house belongs to me,",Soq nam si ngoqgv lak ”
 shouted the bulbul ,"“Biitum koota pvta dorhv sogoql benum,"
 your house? ,“Si noqg nammv lv?”
said the rabbit in surprise ,but kubu lomlayil benum 
 This house is mine now ,Soq nam si sija ngoqg gvku 
I have been living here since many days  ,Soq so ngo naleq mood go doopa kun ”
 How can you live here? ,“Hoggub no so doola kindo ”
asked the bulbul ,"Biitum koota pvtangv benum,"
 This house was made by me and I had been living here ,“Soqg namsam ngo mvnum hoo ngo so naleqgo doodu kunum 
"If you wish,","No mwwd nyiloqkam,"
you can ask the neighbours ,no door-doopw tulungam tox kakato ”
"He insisted,","Mwv benum,"
" I found this house empty,","“Ngo soq namsam assar dvb kaapanum,"
so I moved in ,hoqgab ngo so haanum 
The house belongs to the one who lives in it and this house is mine now  ,"Hiyv sija namho doodu dvn, namsi hoq-gv ji hoo namsi sija ngoqg gvku ”"
" No, this house belongs to me,","“Hvbma, soq namsi ngoqg nammv ”"
 cried the bulbul ,"Biitum koota pvta dorrv sogoq circirl benum,"
 I had gone for a few days to find some food ,“Ngo anyo mood go dvs meegaq taab wleqnum 
"Now that I have come back,","Ngo sija hookur pakun,"
will you please give me my house back? ,hoqgab ngoqg nammam no ngam jikur tuku?”
" No, answered the rabbit ,","“Ma, Buut kubungv birwqnum,"
 I shall not give you your house back at any cost ,ngo nam hoggub nyijaqkam namsam jikur nyody ma 
I shall stay here forever  ,Ngo so nywyw xaqb dootayin ”
Both quarrelled for a long time ,Oiyu mood gob bunyiv yolu paiyaq minswl doondum 
Many animals and birds gathered around ,Naleqgo svdin nvla pvta tulungv bviywrho hwwiyum tvl doonum 
They listened to the bulbul and the rabbit ,Biitum koota pvta gvla buut kubug agam goonam mam bulv tal doonum 
But none of them could decide whether the house belonged to the rabbit or to the bulbul ,Hvbmabde nam hv buut kubu gviyv ma biitum koota pvta gviyv ham hiyv kam pvvb mwwbwq nyomanum 
The animals decided that they must consult a judge to solve the dispute ,Hoqgab svdin tulungv begamv yolu sam pvvb mvm dvb ngulv hvvky loq ak tox kvka dvb nyipa hvl benum 
But finding a good judge was not going to be easy ,Hvbmabde albo hvvky meepa dvb vigo vs-axaqnum 
The rabbit and the bulbul walked for hours to find a good judge ,Buut kubu hvvla biitum koota pvtangv bunyiv oiyu mood gob albo hvvky meegaqtab wnum 
they reached the other side of the jungle ,bulv nyoro taqc gonho wcnum 
"There, seated on the big rock,",Wlw put rarbo wlw golo
"was manu, the cat ",Manu ngvk hvl eminam has ak doonum 
He was very wicked and dangerous too ,Mwv nyic-nyia bvla bos dvb nyinbo akv 
"When Manu saw the rabbit and the bulbul coming,","Hwdlo Manu buut kubu ngvla biitum koota pvtangv hoodul doonam mam kaapa yin,"
"he pretended to be praying with his eyes closed,","mwv swgw dvn hvb nyik-nyimaqnv vnyiqkam nyiqcw dvn hvb nyinum,"
standing on one leg ,lvpia lvkin gon daqtwl 
"In his hand,","Mwwg alaqho,"
"he held a string of prayer beads,","swgw nan tvsw soog bwwnum,"
and he began to take God's name in a very loud voice so that the bulbul and the rabbit would hear him ,"hoo biitum koota pvta ngamla buut kukungam tapa mvdwb, mwv Pwnbog eminam vcjaqb sogoql bel doonum "
"The rabbit and the bulbul were very much impressed on seeing Manu, the cat ","Haas, Manunvn biitum koota pvta ngvla buut kubungv kaapa tvl vc jaqb al dvbo mwwnum "
They found him humble and a devotee of God ,Bulv mwam yan bvla Pwnboam mwwgwl swwnbob kaapanum 
They decided to make him judge their dispute ,Ho bulug yolungam pw-hwwbwq mvdwb bulv mwam hvvkib mvdwb mwwbwqnum 
" But we must be very careful, ",“Hvbmabde ngulv vcjaqb hvvmin tuju ”
sai the bulbul ,"Biitum koota pvtangv benum,"
They waited till Manu finished the prayers ,Manug swgwnam mam mvnya namgub bulv kaaiyal doonum 
" O holy sir,","“Dvrwqbo sarra,"
a little dispute has taken place between me and the bulbul ,biitum koota pvta gvla ngoqg pengko si anyo koonbo yolu ak doodo 
It is about an important matter of law ,Soq si pvvblo hvvtw poot jaqkv 
"Please adjudge who is right and who is wrongh and punish the guilty, ",anya mwwpa gvdwl hiyv kvtaqdvn hoo hiyv kvtaq maadwn hoo ham laqm baqm dvb pw-hwwka tvbv ”
said the rabbit  ,"Buut kubungv benum,"
" My friends,","""Ngoqg ajin tulu,"
never say such a wicked thing ,hoq hvkwg almanam nywywngam bemabv
"It hurts me when I see others in pain, ","Hwdlo ngo asaqg vc nammam kaapa yin, hoqhv ngam vigo hentwr mvdo "
said Manu ,"Manu begamv,"
 Those who harm others shall be punished by God ,“Asaqkam hentwr dvb mvnboam Pwnbov laqm baqm tayin 
Now please tell me what your quarrel is about  ,"Kv i, sija nunyig yolungam ngam betam kaato ”"
" This is what happened,  said the bulbul ","Biitum koota pvtangv begamv, “Soq sib jaq nyinum,”"
 I had gone in search of food for a few days ,“Meeg aal gab ngo dvs meegaqtab ngoqg osup pam wleqnum 
"When I returned,","Hwdlo ngo hookur yukho,"
I found that this rabbit had moved into my house  ,ngoqg namho soq buut kubu si gilwq tvl doodwb ngo kaapanum ”
" No, it is my house because I have been staying here since many days now! ",“Soqg namso ngo oiyu mood gob doodunum hoqgab soq si ngoqg nammv ku hvl sija soq buut kubu si gaqdo hoo noqg kuma hvdo ”
exclaimed the rabbit ,buut kubu benum 
" Please keep calm, both of you ",“Kv nunyi vnyiv ngum-ngum alwb beto 
I have become very old ,Ngo vigo nyikam paku 
I can neihter hear clearly nor see you well ,Ngo nunyig benam mam tadar kama hoo pwwbw bvkam kaadar ma 
So will both of you please come closer to me and narrate the story again? ,Hoqgab nunyiv anya mwwpa gvdvl ngoqg ogumb hvvnwq gvdvl lokta ngam pwwbw alwb betamto?”
"The rabbit and the bulbul,",Buut kubu ngvla biitum koota pvtangv
"who were no longer afraid of Manu,","Manunvn bos kumab,"
moved closer to him ,bunyiv mwwg ogumb hvvnum 
"Instanly, the cunning cat pounced and killed both of them ",Ho dara haas ak hv vnyi-bwbwngam poqrab banv nootul hoo bunyiam mengnum 
He then ate them up and satisfied his hunger ,Ho mwwg kanongam hang xwmt dvb mwv bunyiam dvknum 
A Wise Advance,Mwwlaql Tomswrnam
Ramu and Shamu were good friends ,Ramu la Samu bunyiv albo ajinb nyinum 
Both of them were woodcutters who stayed near the woods ,Vnyiv wsw pagaqbob nyinum hoo bunyiv nyoro bviywr golo doonum 
"One day,","Aal loog golo,"
they went to the wood to cut trees ,Vnyiv aal loog golo swwxin wsw kwrtab wnum 
"Shamu began to boast about hid bravery and told Ramu,","Samu larnv mwwg haakamnam mam Ramunvn betamnum,"
 I am not afraid of wild animals ,“Ngo nyoro svdin tulungam bos maadwn 
I can kill them with one stroke of my sharp axe ,Ngoqg hvreqbo vxy soqgv bulam uukin ciqnyi ho paxwl mengla taiyin ”
" Ramu heard this and said,","Ramu ham tatwl hoo benum,"
 That's very brave!,“No haakam jaq palak!
Iam proud to have a friend like you  ,Ngo nam ajin jen gam gab ngo atv koi gob mwwdo ”
"Suddenly, they saw a black bear coming towards them ",Haqma-paq golo sutum dorg vnyig dookub hoodunum 
"On seeing the bear Shamu got so scared that he ran and climed the nearest tree,",Sutum mam Samu kaapa twqpel bosnv mwv keleqnum hoo Ramun vpwb apaqpel bviywr hoq svvnwb xencanum 
"He thought,","Mwv mwwnum,"
 Now what should I do?,“Hoggv ngo sija nyika kub yu?
I have heard that bears never touch dead person ,Sutumv sinbo nyiingam idaq maad nvk hvl benam mam ngo lok tatwn 
I'll play dead and save my life  ,Hoqgab ngo sija sidkun hvb geqp tvl atam ngo ywwlin sutayin ”
The bear was approaching fast towards Ramu ,Sutumv nyebia jaqb Ramu dookub xaranum 
He quickly lay down on the ground pretending to be dead ,Mwv nyebia jaqb kedho sidkun hvb geqp tvl karnum 
"When the bear came near him,","Hwdlo sutumv mwwg dookub hvvnwq yin,"
Ramu held his breath and kept as still as a dead person ,Ramu saqmab doonum hoo mwv sidkun hvb nyitwl doonum 
The bear circled around him and smelt him ,Sutumv mwam wkin-wiyil nyinum hoo mwam suukanum 
"Thinking that Ramu was dead,","Ramun sidkubo mwwpel,"
the bear left and walked away into the woods ,sutumv wleqnv hoo nyoro urab haaleq kunum 
"After the bear went away,","Sutumv wleq kokwso,"
Shamu came down from the tree ,Samu svvn hoqgv geepoq kunum 
"He went and asked Ramu,","Mwv Ramu dookub wnnv mwam toxnum,"
" Hey Ramu, I saw the bear wshiper something in your ears ","“Ramu, noqg nyuruho sutumv hog jebs dvb ngo kaapanum "
What did he say? ,Hoggv mwv nam bede?”
"Ramu answered,","Ramu birwqnum,"
 The bear indeed gave me a very wise advise ,“Jvqtw jaqb sutumv mwwlaql ngam tomswrnum 
"He told me to never trust a friend who boast about himself,","Mwv ngam betamde atam paqs bo ajinam nywywngam ajin jenma bvk hvl bede,"
for he shall leave you in the time of difficulty ,hoggab mwv vs-axaq moodam nam nyebia jaqb apaqdvn ”
 Shamu was ashamedn of himself as he realized his mistake ,Samu mwwg nyixiaqkam mwwdar laikul mwv atv atam vc jaqb hvnyw kunum 
The Poor Brahmin,Jwwgwbo Bramin
"Once, there was a poor Brahmin who lived in a small town ",Lok golo jwwgwbo Bramin ak pamda golo doonum 
"He was so poor that he never wore good clothes,",Mwv vigo jwwgw ko-gab nywywngam vj albo koopa maanum ho dvngam bo dvs lokkam dvka maanum 
or indulged in the luxuary of eating ,nvm reqmanum hoo lvqsin samanum 
"He had matted hair,","Mwv dumparnum,"
an unshaven beard and uncut nails ,nvm reqmanum hoo lvqsin samanum
"He was extremely weak and emaciated because he had no cover from cold,","Mwwg gv ho vj kooma ko-gab mwam swkwr cwwnamv,"
sun or wind or rain ,doonyi kaanamv ho dooi yidaqnamv la ho nyodo hoiyaq ko-gab
"Taking pity on him,",mwv vc loodab any maanum hoo sooriq koonum 
a rich man donated two calves to him ,Nyetbo nyi ak mwam anya kaapa banv svv ko dornyi go mwam jinum 
"With all care and love,","mwv vc jaqb aby banv,"
the Brahmin fed the calves well with butter oil and grass ,Bramin svv ko dornyiam hoo koocum-kaapil aljaqb dvngam bo dvssv la nwmwngv jinum 
The calves grew into two fine and healthy animals ,Svv ko dornyiv bobuq banv jwwtw jaqb swwnum 
"One day,","Aal golo,"
"a thief saw the calves and thought to himself,","dvcobo akv mwv svv ko dornyiam kaapanum hoo mwv atv mwwsnum,"
 I must somehow steal and sell them ,“Ngo hoggub nyijaqkam bulam dvco layil puqtayin 
They will bring me good money  ,Bulam ngo puqb nyiloqkam ngo vigo twngk naam tayi ”
That night he set out for the Brahmin's house ,Hoq aiho mwv Braminwg nammwb wnum 
"On the way,","Hoq lamta ho,"
"he saw a lean but scary figure with dishevelled hair,","Mwv hungku bo nyi ak kaapanum hoqhv dumv tuudur-bussu tvl,"
"loose teeth as long and sharp as fangs,","vxiv xiigo-xiiro tvl, lvqsinv yvkiq-pisuq tvl,"
an arched nose and blood-red eyes ,nyupumv pumt rara tvl hoo vnyiqkv nyiqlw-nyiqka tvl bos kaapanum 
"Though he was frighten,","Dvcobo hv mwv bosunum,"
"the thief asked him,","hvbjaqkam mwv mwam toxnum,"
" Who are you, sir? ","“Sar, no hiyv?”"
 I am a monster ,Ngo apa roorrv 
Who are you and where are you going at this late hour? ,No hiyv hoo soq ai kanso no hogloqb wdu dvn?”
"The scared thief blured out the truth,","Bos kunv dvcobo akv mwv jvqtwngam belinum,"
 I am a thief ,“Ngo dvco bv 
I am going to steal the calves of the Brahmin  ,Braminwg svv ko dornyiam dvco taab ngo wdu dvn ”
"The monster trusted the words of the thief and said,","Dvcobo agam goonam mam apa roor tvjwnum hoo benum,"
 I take only one meal a day in the evening and I will kill the Brahmin for my dinner  ,“Aal ngo ariyum arongam dvs dvdwn hoqgab ngo Bramin akam mengdvl ngoqg dvs gob mvtayin ”
Both of them went to the Brahmin's house ,Vnyi bwbwngv Braminwg nammwb wnum 
the monster stepped in to kill the poor Brahmin ,jwwgwbo Bramin akam apa roor mengtab jinganum 
"The thief held him back saying,","Ho dvcobo akv mwam putu banv begamv,"
 It is unjust to kill the Brahmin before I can take away the two calves  ,“Ngo svv ko dorniyam naal wgmatab Bramin akam mengnam si alma ”
"The monster said,","Apa roor benum,"
" If the sound of the resisting calves distrubs the sleep of the Brahmin,","“Svv ko dornyiv nam bookmab nyil yal dul yubdu bo Bramin akam muu tayi,"
I will not be able to kill him  ,hoo ngo mwam mengnyi kuram ”
"The thief replied,","Dvcobov birwqnum,"
" Suppose you face some problem in killing him,","“No mwam mengdwb vs-axaq baloqkam,"
then I will not be able to take the calves ,ho ngo svv ko dornyiam dvco coola dema 
"Since I gave you the idea,",hvbnyiloqkam ngo nam soq sam nyim dvb tomswrbov ”
you should wait till I finish my job first  ,"Ngoqg nyisam nyiyum maady deedib no cooikab dooiya to,"
The thief and the monster began quarrelling about who should be the first one to act ,Ho dvcobo la apa roor bunyiv hiyv wco otuqb nyico tayin hoq pagoq gab yolu paiyaq minsnum 
The Brahmin woke up due to the commotion they were making and asked them who they were making and asked them who they were and what the matter was ,Vnyig yolu paiyaq minsnam yalv Bramin akam duu kunum hoo bulam mwv toxnum nulv hiyv hoo hognvk pagoq gab paiyaq mins dvn 
"The thief pointed at the monster and said,","Dvcobo akv apa roornvn ciqgabnv benum,"
" O Brahmin, this monster wants to kill you and make you his meal  ","“Bramin-na, soq apa roor si nam mengl mwwg dvs gob mvtanum ”"
"The monster denied and said,","Apa roor hvbmak hvl benum hoo mwv birwqnum,"
