English,Tagin
taro was the person who came here,Taro maabv so aanv
You say hello,no helo hvdo
"At that time, the woman and the man were given authority over everything that the god had created.","Ho kokung bv, nyilo nyimv anyi vm yarnv gv mvlin dvdv ngvm rigv dogv yadu bv jitoku."
Get me another beer,ngom biyar aku jika to
Who fell?,hvyv hoolu pv?
Do you want the job?,no kaam aku naanww do?
Do you have a fever?,no tami ramnam gu dodo?
meat is still not cooked by heating,addin si baanu maadw
Did you come by car?,No gaari lokv aapv nv ri?
I wear a hat,ngo bootung gvpa
without asking your mother and father,anv abu vm tvka maje ka
"They named one of them, Cain, and the other Abel.","Hv aku nyi Kein hokv, aku nyi Abel gubv amin vm apv toku."
meat is not yet cooked,addin numa
I never got any money,ngo morko paaka ma
I yawned,ngo gamsi-sipa
Can you see Takar?,Takar nyi kaapa do?
"After this, Jesus went up to Jerusalem from Galilee in the gospel and finished his ministry seven days later.",Ho kochingbv Gamlv lo Jisu gv Galili lokv Jerusalem bv vngnam ha okv ninyigv ataranya bvku alu kanw go ninyigv rinam dvdv nga minla.
Can you rub my back?,no ngogv nangku vm haaka la re?
Friends have gathered,No kuu v kapdo
Do you smoke cigars?,no sigar tvvdo?
You're the dreamer,no nyumaa maaki nv go
apartheid,pvvbw mvpin sunam
Here I am,ngo so doodo
where is the broken half thread,tanu attu ngv hugulo
To let grow the aquatic lives in fresh winter water,Haaigv lo dvra Darmum duku bv
Our paddy fields and tiny huts,Ngunu gv rvngo nampom
let's eat food,achin dvla kuju
Tapen Natam's Film Bormv,Tapen Natam gv Borme Filim
Everybody looked up,nyi mwlww nyikduu pa
You cannot jump like me,no ngo gvri bv pokla mare
It experiences a painful sharpening,nw ichi jvkam lwkdv bv naki mvmu do
hello handsome young man,kapu nv dumdw tuudw ngv
I hope so,ngo mwwdo
Takar picked me up at the station,Takar ngom gaari istesvn lokv bvvcha pa
I am pulling a mithun,Ngo subu dordu
I eat apples,Ngo eppvl dvdo
I am having fever,ngo tami ramdo
5th elder brother,paadung
Who ate?,hvyv dvpv nv?
tara ia bless with bad character by Donyipolo,tara nyi donyipolo hv kigak pvv pv
I paid,ngo dorro
by making you upside-down,paakup-paalik mvtv la
He has a round face, v gv alum nv nyokmu doodo
fencing is damaged while climbimg,selu nga gengryap ro
throw away the membranes,addin apw-amu so hara
"Baa, baa, black sheep,","Baa, baa, yakia nv svlar,"
all the dance groups at the Si-Donyi festival are named after the deities that once lived on the surface of the earth,Si-donyi nyi Atu Sii gv gorbww lo doonv dvdv gv amin bv poonung acham-acham bv rilin taado
Everybody applauded,nyi mwlww papok pa
Have a nice weekend,anyiong nv hapta doogv to
You made a promise,no gamchu gu aku mvpa
sung by Bijoy Nalo and Aayir Dupit,Bijoy Nalo la Aayir Dupit Gaanam
the cattle is matured,svv angv hvvkam puku
who were those?,hvye yu?
flex the hand,alaka lakjin tho
let's go all together in a group,kaju-kaju ngunu soota ju
Anybody want a lift?,hvyv mwnww vvnw do?
Don't disappoint me,ngom sanga-hara bv mvyo ka
I have no appetite for food,ngo achin dvram pv
Can he speak French?,mw French gaam jabchin do?
Don't tell your dad,nogv abu nyi minpa yo
Your secret's safe,nokv sumnam vh ngo gv lo dosum do
giving is better than receiving,jinam v naanam v alv yado
aquamarine,yagor-yaji
Mother's sister,mui
By whom was this made?,Hvyv so mvnv ngv?
in order to properly completing the restriction for ten days Riumdo was offered the vast sky as his abode,Riumdo dv alu looring gv arw v alv bv rinya nvngv lvga bv nyido-kolo hv rvnyak nyaklin puku nv
Moral: Never judge someone by the way they look,chinlak nam gam: nyi vm kaaru dvkv hvla kaapu-kalu mabv ka
cried four times,lvpi gu kapdo
You twinkle,no karbok do
monkey is jumping from one branch to other,sebi hv seenv ao lo harkar do
Does your wife work?,no gv nyemv kaam rido?
architecture,bwli pwnv
shoot at the leaf,olo oku bornga apchin
cut upward and downward to join,tolo la bolo pasik suto
shamanic term for smaller spirits,lwbw-laksu
Takar knows what he's going to do,V hugu mvdv bv hvla Takar chindo
I run in the park,ngo park lo jogdo
Don't climb on this!,so chaama bv ka!
knocking for which reason,hugu takjin golo takdu nv
what is in the second position,anyi jinv hugu gu
Matthew is well-written.,Metiu sum alvrungbv lvkpv jipv.
Every day Jesus’ leaders learned more about him.,Aluayuv vngya yayaku Jisu gv rigvnam vdwv ninyigv lvkwng nga alvyabv chinya toku.
sit around,dookar
smear each leg,lvpa lvsak so pyakto
where are the group of people,nyii tuluu ngv hugu lo
bring the firewood up here,vsii nga so joocha tho
the power of the mother earth,sii-uyu
Contact me tomorrow,ngom aru nyi gokka to
Do you have a match?,no machis aku dodo?
you will not be given two mithun,nom subu dornyi go jima re
Did Takar purchase it?,Takar vm rvvpv nv ri?
Everyone's watching,nyi mwnww ngv kaado
He has a good heart,v gv haapok alvnv doodo
this mug has been broken,kobv si ajak ro
yaro wants to die,yaro sibv rido
crush the rice,ambin na mvmwk tho
then I will become your snow,ngo rire nokv taapom bv
Don't get in my way,ngo lamda lo aama bv
Thank you!,umbonyi!
no use of standing near a  river,selv dagu hv dagnam kama
due to this,Hvbv riku nvngv
Takar needs two tickets to Boston,Takar Boston vvdu bv anyi tiket go chinchi do
I ran,Ngo jukpa
carried for you,nam gvdum jipa
All the king’s horses and all the king’s men,Dvbv gv gora mwnwng ngv hokv Dvbv gv nyiga mwnwng ngv
I reached here by walking,ngo si daachi puku
Do you like bowling?,no boli pagia do?
Do we need a Plan B?,ngunu Plan B gu chinchi pvnv ri?
Are you comfortable?,no jampu pvri?
do not know the stepping,kornam vm korchin ma
He did it for money,bww vm morko lvga bv ripa
If I will become like a song,ngo miri gobv ribo lo
From Galilee to Jerusalem (9:51—19:27),Galili lokv Jerusalem lo (9:51—19:27)
seeing only,kaamwng
I study in the night,ayu nyi ngo puri do
walking stick is small,bwknyi si daachi do
be cool,nyimin bv
Is Takar in?,Takar arw doopv ri?
Can you read Arabic?,no Arabik puri richin do?
Don't take too long,aso-koyo bv naayo
Rain will definitely fall tonight,seeyu nyi nyido ooru re
has the football game finished?,putbol hv ringin pvri?
I'm going,ngo vngdo
give firewood to tara,tara nyi vsing kumji tho
Tapa do not eat any food,Tapa achin achak guka dvma
Yesterday I saw you and said something,nam ngo meeru kaapa la agam gu mimpa
I am tired,ngo anyak puku
Fix this,sim mvto
Reply me,ngom raarwk to
Hug me,ngom chegap
I count to ten,ngo akin lo keh Ari beh kinui pak
He came,bww aado
Let's go!,kvle!
But I wasn't afraid,hvbv jvkam ngo busuma
Let Takar come here,Takar nyi so aamu to
the light went out while I was reading,ngo puri ridung la doonam v light vvro pa
I'm busy,ngo mioma do
He does not like us,v ngulu vm kaagia ma do
I'm up,ngo guduu ro
a group of stupid people,ogra nyinga apam
4th day,lopi jinv
Can you please help?,no aya la mvdor la re?
where is that man's dao,nyii boogv oriokv hugulo
"He wanted to do what the brothers and sisters did for the sake of the gospel, so he went to Spain.","Ninyigv rungnampanam jvngv kudungkua nga Kristan vdwgv aralo richore mvngtoku, okv vbvrikunamv bunugv ridurripa kunam lokv, Spain lo vngdung toku."
Don't tell your dad,nokv abu nyi minyo
It's good to study in the morning,aaru nyi puri dvbv alv do 
Takar lives in Boston doesn't he?,Takar Boston lo redo hv mari?
John speaks about the gift of truth and life to those who receive it.,jvjv ngv okv turnam v vla naarwksinv vdwam jinyubv amin jinam gv lvga nga Jon pvbwng vrwng yabv mindu.
this is my last offspring,si ngo gv kuu anya
Boil those potatoes,olo ingin vm hungto
adjust the cloth while sitting,iji ha achum-ai la dootv ke
Let's go.,Kvle vngla ju.
Takar must not find out the truth,Takar jeejv agam vm chima bolo alv re
Moral:Luck won't favor always,chinlak nv gaam:gumpu loodak lo kambv maado
to your mother and father,no kv gv anv-abu nyi
when I had already written the letter then you arrived,ngo siti a lvknya tvla doonam v no aapa
Be a man,narbu bv rila kv
Be careful up there,aya lo acho bv kv
The salt dissolved in the water and hence the bag became very light to carry,alu pubam issi lo pamjik to hvbv riku namv alu pubam bagdu bv haajup to
pick up the pebble,lvvchak so darcha tho
I am thinking of going to Itanagar,ngo itanagar linsi mwdu
Get your clothes on,nokv iji vm gvto
I was thinking and staying,ngo bvmw la doodu
keep the remaining food safely,achin dvlv nga achii tho
do not aggravate the situation by talking,no ami-atar bv raama bv de
Aren't you brothers?,nunu achi-buru mangv?
You need a haircut,no dumu sapdv bv chinchi pa
bring your hand nearer,no alaka laknwk tho
call your mother,naanv nyi minto
should let me wear it girl,komji ngom de koka molabv
jerking move of buttock,kooyu yapnam
Am I late?,ngo leet pvnv ri?
Do you have one rupee? ,No morko barken go do pai?
Our beautiful mountains and the chrystal clear rivers,Ngunu gv moodi isi
Wife,nyimv
Riumdo to the vast sky,Riumdo hv Nyedo kolo lo
She lied,bww ryabpa
Try hard,attor bv mvka to
Stand up!,dakda to!
He doesn't know yet,bww hvjak hugu ka chima
young man,kumji tudw ah
Do it now,sim hvjak mvto
come to southern side of house,naam akoo bv ito
it will be bad if you do like that,no hvbv ribo lo alv mare
Takar made the same mistake again,Takar lvku bv rimor pa
I'm lying,ngo ryabdo
Be brief,alv bv mentom to
group of Saviours,Hoi acham
Takar is better,Takar alv do
the priest chants for all the living children of abo-tanyi in order to attain peace harmony and advancement in their life and performs ritual,Nyubu hv Sechii so Tanyi kuu doonv mvnwng nga selin-rilin mola bvkv hvla yullo rido
I can refuse,ngo ma hvla re
Can you play tennis?,no tenis lichin do?
"Come listen, I will gladly tell you.",Atolaka ngo nonu vm tvpu alvbv minjire tvvlaka.
Come together in this si-donyi festival,aakum to so si-donyi so
Everybody don't like Takar,nyi mwnww Takar nyi keenam do
do not come repeatedly,aadak lvri bv aayo ke
don't get cut while taking that dao,oriok naapi suji la
searching of crab inside the hole,tachi keenam 
Can you swim at all?,no jaachin ka do?
throw this stone again,vlw punga lvku da harchin tho
He denied the rumor,bww rwsi vm larchik pa
let's be together,ngunu lvkin bvju
Takar said he'd give me a massage,Takar ngom takik mvnam mvre hvla hvpa
He runs,bww jokdo
Does Takar wear boots?,Takar lvkiam gvdo?
Ask Takar to help you,Takar nyi nom raagv dvbv hvla tvka to
who have stolen the mithun,subu dvcho bongv hvye
Did you tell on Takar?,no Takar lo mintam pvnv ri?
at the end you will cry,anyung gunyi no kapre
tara will surely beat tapa,tara tapa nyi mvje re
Brother's wife,mui
Everyone lies to me,nyi mwnww ngom mvvdo
somewhat four,api gubv
My mother has given birth to me,ngo aanv ngam bvvlin pa
I don't a one rupee note,ngo gv abar barkee go sin kama
please call taro here,taro nyi minji labv kv
arduous,mvru
where is the other one?,aku nv hugu lo?
move your leg away from here,no lvpa nga sookv lvtoo tho
landslide occurred again,lvku da rachik jakchin ro
They grazed together and stayed together,ho ata ngv dvbam okv rebam to
a person who is blessed by the Nyilwng Donyi dies early due to some accident,Nyilwng Donyi gv kinam hv talwng sidu nv yu
shoot the arrow up there,opok tolo apcha tho
where are you football playing partners,no gv putbol pabam mv hugulo
what are the reason for searchinh,hugu madung gu makar dunv
approachable,aanwk dvbv rinam
four scoop of ice-cream for me,ngom ais-kriim gobbpi gu
Do you like surfing?,no isi ao lo sunam sugia do?
At least we had fun,hvbv rijv kam ngunu soomin-nyarmin pa
a child with erected penis,hvmi miak ryadok tvla
going around to invite priest,nyubu tamkar do
He has gone too far,bww achvlv bv addo vvro
five scoop of ice-cream for me,ngom ais-kriim gobngu gu
she is my mother,si ngo gv anv
You're turning red,no gv nyokmu yalww bv rido
skin of snake is peel off,tabw apinv serik pv
angels of Ato Sii,Sii-Omv
Close it,vm mvtum to
burn away the fatty meat,addin au so baajik tho
talking to tara,tara nyi gaam raagv du
You are just the right size to be our friend,no ajin mvdu bv alv bv kai do hvla
blowing wind lift the leaf,duuri hv oku bornga miyin do
Takar has a job,Takar gv kaam aku dodo
walking stick has been broken while throwing,bwknyi daanga chitar ro
throw away this dry garbage,kosok-korok so bagha tho
I have constructed this house individually,so naam si ngo lakrin bv mvsu pvnv bo
father is cooking food,Abu achin mvdo
Have a nice evening,anyiong nv aryum doogv to
tara is talking,tara gaam mindo
uncountable numbers of people,nyii hv angin-ayok kuma
Can you hop on one foot?,no lvdo dokchin re?
"The words of Mark begin, “This is the Son of God, the Holy Spirit of Jesus Christ.”","Mark gv Gamlv milambv vbv minrapdu “Si Pwknvyarnv gv Kuunyilo akin, Jisu Kristo gv Alvnv Yunying ngv.”"
You're taking over,no naarwk do
Do you like dancing?,no pajok jogia do?
twenty rupees only,morko chamyi gukv
tara you don't do,tara no riyo de
roast this maize first,radv so baacho tho
armed forces,sipai
month,poolv
Don't do this again,sim rikor yo ka
appraise,kiotar nam
give the leftover food to the dog,achin adar-abara ikki ha jito
do this,so mvto
sliced out some portion of meat and keep,addin achak gu peypv tho
Girls and boys are playing,nyijar yaapa ngv gyomin du
do like tania,tania apia bv rito ke
burning something in fire,wmw ramdo
the dog has bitten the piece of bone,ikki hv allo poonga gamlak pvro
This good news didn’t come from the Jews but from the people of the world. It came from Jesus.,"So alvnv yunying si Jisunyi bvnglwkku, Jius nyi vdw gvngv mwngma, vbvritola nyiamooku nyi mvnwng gvngv vla minpadu."
sisters laughter never remains permanent,anyi-bormv ngv nyorbv jima do
I'm first,ngo aacho jinv
I like green,Ngo yaji vm kaagia do
dehusking grain by pestle and morter,amv hwwbin
I saw him,ngo bww vm kaapa pa
place the leg in the same step,dachii soka dapv toh
I'm okay,ngo alv do
my mother is doing work,ngo anv kaam rido
archbishop,mwlww ngam kai yanv bishop
this is enough to do,si rigu-rvpwng pv
Do you think I care?,ngo kaajin-kabia dvkv hvla no mwwdo?
this year,senyi anyii so
Takar pulled into the gas station,Takar ges istesvn lo joktu pa
let other people eat it,so nyi kvbi vm dvmu laju
lets put the mithun inside Luura,subu ha luura lo charlwk laju
I miss it,ngo vm mwwdwk do
Don't make me angry,ngom rokmu mvma bv ka
My favorite subject is English because I enjoy reading interesting stories and learning new words.,"Ngoogv alv yachuk nv sabject Inglis ngv, hugu lvgabv hvbolo ngo herak puri ribv mwwcham do"
If I become like the grass,ngo nvsii gobv ribo lo
The god will see,Donyi polo v kaare
Trust me,ngom mwwjii to
I came here to carry it,so gvbv ngo aado
coming around,aakar
what is the matter?,hugu gula?
if I become like a bird,ngo pvta gobv ribo lo
"I live in the beautiful village of Dugi, in the city of Daporijo.",Ngo Daporijo pamtv gv kaakin nv nampum Dugi lo doodo.
He does not walk fast,hv biapu bv vngma do
Give water to Yaro,Yaro nyi isi jito
yapa talks too much,yapa agam raaki do
causing hole in mug while lifting it,koobv anga naako ro
"I live in the beautiful village of Dugi, in the city of Daporijo.",Ngo Daporijo pamtv gv achialvbv kaapu nvngv nampam Dugi lo doodunv.
vast sky,nyedo kolo
who has stolen this?,so naacho nv ngv hvye bvre?
These kinds of clothes are fine,Sibv nv iji v alv do
I was talking in dream,seeyu ngo nyuma lo agam raamaa la
Don't do that again,vm rikor yo ka
We agree,ngunu vm tvjii to
it is their money,si adw gv morko
ask someone to wear bangle,koopu kinto
Are you still alive?,no hvjak gobv seebww pvnv ri?
"The scribes who have seen the scribes have believed that the works of the Christ came from the Romans, and the works of the Christ came from the Jews.","Lvknv vka mvngjwng toku lvkpvku ninyigv lvknam am kaanv vdwv mvngjwng duku Kristan rinam si Roman mooku lokv gwngmi sunama, okv oogv Kristan mvngjwng namsi Jius mooku lo lingkunam."
money is already spent,morko nga mva ro
Everybody likes him,nyi gwdw vm pakdo
the descendants of the abo tanyi will not exist.,tanyi gv kuuv dooma re.
cannot complete the running,joknam v joknya nyuma
Don't mess with Takar,Takar nyi miyu-mirv mabv
Takar says I have to study French,Takar French agam jabdu bv puri re hvdo
Go brush your teeth,no hijung vm bras mv te
Don't lie,mvrma bv
"This is because God has endowed him with wisdom, power, and forgiveness of sins.","Ninyia Pwknvyarnv gv tolwk nama ninyigv tamsarnam lokv kaatamdo, ninyigv jwkrw v uyuvram vdwa doolv yakunam, okv nyi vdwgv rimur vdwa mvngnga jikunam."
I like you,nam ngo kaacham do
Everybody likes her,nyi mwlw vm pakdo
Cool off!,maanyum to
I keep vomitting while traveling in a vehicle,gaari lo vvbo lo ngo bvvngdv-bvvngdv do
you come in place of tapa,tapa duubv no aatv ki
I sang,ngo gaapa
Forest minister,mootum ministvr
Takar poured himself some whiskey,Takar atu lvga bv opo go pwlwk pa
Fix this,sim alv bv mvto
apprehensive,busu sunam
He has two Picassos,bww gv anyi gu Pikasos doodo
Don't waste my time,ngo apo ngam raanv-rapv mabv ka
Riumchingjering told Riumching and Riumdo to have five days restriction inside the house and said not to go outsite before the completion of the restriction,Ho gv Uyu kambv beyri ho alo looring gu Uyu arw rwdu kubv minto
A noise woke her up,amu-alam nw vm guduu mvro
Come together in this si-donyi festival,aakung to so si-donyi so
Let us not destroy them and save them from the man made pollutants,Nyimv-nyipak gv Vchuu tvnyak go Nvlik maabv ka
Everybody likes you,nyi gwdw nom pakdo
I'll try,ngo mvka re
a ornament used for knotting the base of the necklace,Tapo Barngv
What's your favorite type of weather?,nok kv alv yasuk nv nyido-issi hugu do?
injection,biji hwwnam
tonight they are lauging together,seryum nyorbam sudo ku
Go away!,vvro to!
This beautiful place,Kaapu nv moko si
keep insisting on tara,no tara nyi jijik bv minsu gu
I met him,ngo bww vm paami-supa
Don't you like wine?,no opo tvga mado?
I'm lying,ngo mvrdo
Don't make me angry,ngom rokmu yo
what is that disc shaped object?,olo abar barngv hugu gula?
The priest Taru is chanting shamanic verses by holding an egg,nyubu taru pwpw chido
Give me my walking stick,Ngo bwgnyi vm nato
If I don't give what will you do?,ngo jima bolo no hugu mvre?
Did Takar lie to Yapi?,Takar Yapi nyi ryab pvnv ri?
this house is congested,naam si achap-ala do
I am here,ngo soka doopa
arguable,hagmi sunam
If these mountains and rivers - land and forests are not safeguarded,Moko isi si Gingda siko si Doma bolo
Are these all yours?,si mwnww bulu nogv ri?
Give alcohol to Riakyo,Riakyo nyi oppo jito
Men are running,nyi v jokdu
I feel unhygienic in this hotel,so hotel so ngo dvchar do
do want to cut the meat alone,addin na no akin papww dubv ai
She speaks Tagin fluently.,Bww Tagin gaam alv bv jabdo.
appointment,kvnam tvnam
you are not listening,no tvma nyi 
I came with intention to beat you,nam ngo mvruu dubv aado
Who is calling me?,Ngam gognv hvyv la?
kill with a sharp stick,seekio lokv nikki tho
Are we going to win?,ngunu yaare dw?
Help us,ngulu vm mvdor to
You look very pale,no haatw-pabw pvnv kaado
Saw you in a dream,Nam nyuma lo kaado
don't talk on any wrong subjects,agam raagak mabv ka
We lost,ngulu ngemu ro
The dog eats meat,Ikki v adin dvdo
where is shelf,agii ngv hugulo
Takar put the mop behind the door,Takar tikaknam iji vm vvryap kokw lo apv pa
if you like this pen then I will buy it for you,no pen so kaagia bolo nom ngo rvvji re
I'm stuck,ngo chaptu pvku
You stay here.,No hiyalana ai.
I'm ready!,ngo ngimpv ku!
Cats meow,Ami v mido
Go and look for Takar,vvgv rela Takar nyi kaakar te
my main friends,ajin jengv
Did you talk to Takar?,no Takar nyi agam jabpv nv ri?
behind the house,naam lvkww
Don't listen to Takar,Takar nyi tvma bv ka
The person who wrote this is Tungon no?,so lwknv ngv Tungon boi?
tara is cured by shaman,tara nyi uyu mvpu ro
Don't open the door,vryap ryapko mabv ka
You may be correct,no mvjik ka pvso
you didn't even try to find her,mekar so mvngpa ka kuma bv
don't get excited by drinking alcohol,oppo tvvrv tvla gooling mabv ke
Delete that picture,olo putu vm twa to
I will go,ngo vvre
Does Takar understand?,Takar chindo?
My favorite subject is English,Ngoogv alv yasuknam subject ngv Inglis ngv
Go to bed,nyubte
cutting down of tree,seenv tvngnam
replied the rabbit,rebit minto
Don't trust anybody,nyi mwnww vm jeenam yo
You've got my vote,no ngo gv buut vm bvvpa
I am going to Dapo to perform shamanic chants,ngo uyu beedu bv dapo aajin
I'm lost,ngo ngero
all the animals in the forest were running in fear,mootum gv mwnww senwng-semin gwdww busu la jokkar to
Do you like bananas?,no kopak vm dvvgia do?
that snake crawls,tabw hv ngamdo
appliance,hidu
money was blown away by air,morko nga duuri hv ria ro
Civil aviation minister,jarnam-janam ministvr
you cried due to working in field,no rongo mvak sula kapdo
tearing a cloth,iji sartak
Do you have a favorite constellation?,no gv alv yasuk nv takar harnam hugu do?
I took it,ngo vm naapa
Takar looked at the message again,Takar message vm lvku bv kaapa
Takar is counting alone,Takar kimww do
Don't you like that?,vm no hingia ma ai?
He is my father,hv ngo gv abu
that rooster is crowing by widening his mouth,rokpu angv agom kokda tvla kodo
We the children of Abo Tanyi won't be able to live,Svngla mare ngunu Tanyi kuu v
let's pray to earth's spirit,sii uyu vm mvla ju
no point to discuss,agam raadung kaama
give me that specifically,olo daadw nga jito
Did Takar believe you?,Takar nom mwwjii pvnv ri?
The Work of the Spirit in Galilee (Matthew 4:12—18:35),Jisu gv Galili lo yalu gv ridungripa rinam (4:12—18:35)
Don't smoke in here,so tvvduu tvvyo
you are the one I prayed for,no ngokv hillo kodung nv
Takar said he didn't drink coffee,Takar nw kopi twma kv hvla mimpa
taro has already counted this,taro so kida ro
sit in the last,atar tolo dooto
Don't smoke so much,hintar bv tvvduu tvvyo
tanya is carrying machete,tanya oriak bokdo
I'm a man,ngo nyi v
Yadv loves Pojv,Yadv Porjv nyi pakdo
God is our strength,yarnv ngv ngunu gv advng nv
and another one became Doring-Chijin for the sky,hokv aku nv Nyido gv Doring-chijing bv ripv kunv
the mithun is released,subu anga topv ro ku
Don't give up on me,ngom mwwgu kama bv mvyo ka
Few people think so,nyi achuk go hvbv mwwdo
hit a vessel to correct the dent,pvchi takjin
things that can be folded with palm,nyumkub dubv rinam
I'm thin,ngo yaagam do
anyway,hvbv rije kam
and the coming of Jesus into heaven is spoken in parables.,okv Jisu gv nyidomooku bv chaakunam am minya gaam bv mindu.
Hold fire,wmw gakbw to
lets donate for nyida,nyida dvba baala ju
He has a nose bleed,v gv napum lokv uyi sarlin do
I don't believe you,nam ngo jeema
refold this leaf now,so oku so lapchin tuku
then I will become your wings,ngo rire nokv alap bv
give me handful of rice,ambin pvvbam gu jito
Where is their dwelling place?,wdw gv dooku v hugu lo?
Takar is abroad,Takar nyipak bv redo
Don't get any ideas,mwwgam aku ka paama
gatthering to settle a dispute,yalung doopam pamdu
Don't phone her now,vm hvjak pon mvma bv ka
you are intoxicated by eating fermented rice,no nyakrin dvkyum do
lets start the discussion,agam ma raagak nyala ju
Is Takar OK?,Takar alv pvri?
whether you punch and deform me,tukup-tulik mvda kam
This is why we are recognized as sinners.,hvkv lvgalo ngunu mvnww nyi dvdv chin rimur kunv bv riduku.
I didn't sleep well last night,ngo meeryum alv bv nyubpa ma
I am longing to marry,ngo nyimv naanwng do
you saw me while I was talking,nga agam raadu bv no kaarya pa
where is the end point of search,matar hv hugu lo
What's your favorite storybook?,no gv alvnv nyitin kitap hugu do?
let Tapor eat food,tapor nyi achin dvmu se ngv
Takar ran,Takar jokro
armor,svtam-sarok
Don't cut the tree,Svvnv a pama
I don't like you,nam ngo kaacham ma do
He has his own room,bww popum atu gv doodo
Takar may be drinking alcohol,Takar oppo tvvdu so
Bless you,no svvla ka
Don't do this again,sim rikor mabv ka
You're quite smart,no achvlv bv chvrv pa
I sleep at night,ngo aryum kanneh nyi niuvdo
Don't you know that?,no vm chima pvnv?
Kibu-Riabu and Pootv-Hilo were formed from the back of Sii,Sii gv gorbwng lokv Pootv-Hilo la Kibu-Riabu hv limpv kunv
Everybody likes you,nyi mwlw nom aya do
I taste an orange,ngo uuntra chaka do
I am driving vehicle,ngo gari pardun
Are you texting Takar?,no Takar nyi lwk dvnv ri?
tara can not be appeased,tara nyi maanyu ma
Let's know about Si-Donyi in Tagin language written by Dr Gayamnia Baki,Dr Gyamnia Baki gv lwgnam Tagin Gaam Bv Si-Donyi So chinla ju
You may use my car,no ngo gv gaari vm bvvka la
I draw a square,ngo iskuer bwkdo
lower arm,alak
the tract is very slippery,lamtv si alap-posok do
Change is important,ajar jarnam alv do
give me two,anyi gu jito
tara has completed singing,tara gaana gaanya ro
give me six hand span of rope,ngom osso gapkv go jito
Do you like to sing?,no gaana gaagia dvnv ri?
arm chair,alak dootam
let Yapa to play football,Yapa nyi putbol rimu to
What fun!,Hugu goonam!
And Jill came tumbling after.,Jill kokwng lo aalwk toku.
Every minute is important,apo anyio ngv arin do
Takar said you were almost killed,No sida sv kv hvla Takar hvpa
Hold on,jarbww to
My name is Jugon Dugi.,ngo gv amin hv Jugon Dugi.
come with a machete,oriok bvvlai la aato
The sun with its different forms are called Nyikidonyi Nyilwngdonyi Nyitardonyi nyigiodonyi Nyiramdonyi,Nyibu hv Uyu beeri nyi Donyi ham VJING okv Vji gubv mindo
Takar said you'd do that for Yapi,No sim Yapi lvga bv rire kv hvla Takar hvpa
Can you sing the alphabet song backward?,no ey bi kikur la gana vm gaachin re?
the vessel is dented,pvchi ngv gamah ro
should I wait here?,ngo so dooria re?
The eldest of the three Riumchingjering was endowed with the highest degree of wisdom and knowledge,Riumchingjering hv abwng yaachuk tvla hugu mvnwng v chingku-chirak yaato
"I hope that when you hear this, you will be encouraged to do what you think is right.","Ngo mwngdu, nonu sim tvgvrela nonu gv hapuk lo, hookv no gv mwngnam rinam lo,alv nam paari nvpv mwngla ngo mwngdu de."
Keep out!,agum apv to!
I have eaten food,ngo achin dvro ku
Gambling is illegal,morko baaji rinam v alv ma
Do you have one rupee? ,No morko barkee go do pai?
Moral:Luck won't favor always,nyitin gaam:gumpu loodak lo kambv maado
ark,sepv namlo
throw it on the stone,vlw olo hargii tho
I will not eat food,ngo achin dvram
Foreign minister,nyipak ministvr
do not come here repeatedly,no so aadv aadv mabv ka
Help me,ngom mvdor to
arctic,chea mooku
Takar made an important discovery,Takar ayii alv bv meepa pa
food is ready,achin mvpv
Don't come inside,arw amabv
separation of bone from flesh,allo hamdu
Answer me,ngom raarwk to
have you taken food?,no achin dvpv nv?
such man should be appreciated,hvkv nyi v ayum laju
He has a nose bleed,v gv naw lokv uyi sarlin do
come silently,acho bv aato
the well present in the garden grew dry,nayam gv isi sintar kunamv nvsii-nvma yumchum to
if not that take another one,hv malo aku nyi naato
The frog said,tatwk minto
It's OK,v alv do
I did not get chance to shoot bird,ngo pvta appa ma
straighten this stick by beating,seekio soongv so jeejin tho
Our beautiful mountains and the crystal clear rivers,Ngunu gv moodi isi
plucking brinjal,bayam pudo
Stop Takar,Takar nyi mvtor to
give it here,che so jito
dalo went to jungle for hunting animal,dalo amin mvbv myotum vvro
mother is cooking food,annv achin mvdo
She is my mother,hv ngo gv anv
then I will become your path,ngo rire nokv lau bv
in order to look after the earth and the sky,svching la Nyido bunyiam kaaria-taria duku bv
Takar often yells at his children,Takar diki bv atu kuu gwdw vm rabda-rabra do
a bunch of grass,nvmww gaabam gu
He had one daughter,bww gv kuu nyijir aku doo pe
When did it happen?,Hwdw lo rido?
Have you watched it?,no vm kaapa?
you will not finish in time,no mvpu kuma re
Takar is crying,Takar kabdo
everyone stands and prays ,mvnwng v dakla kumji do
You're persevering,no achvlv yaabuu do
at another location,yorgu nvlo
arise,chaalin
All the goods that had been scattered among the people were said to belong to him.,"lokia gwnggvsinggv nvnv yikungyira nga minvnvto,"
flooding,issi tvdo
Where is his/her home?,hvkv gv naam v hugu lo?
You feel happy,no hingam do
on talking I get excited,agam jabnam mv mindok do
Goodbye!,alv bv doo lakv!
He has a loud voice,bww gv agam gamroo do
I snore,ngo nyubngar do
Give alcohol to Riakyo,Riakyo nyi oppo jito
Paul’s letters to the Corinthians were written at the time of the conflict between the church and his thoughts.,Paul gv Korintian vdwa siti jidvnam si Gvrja gvla nw gv adwkakubv rimi sirilo lvktoku.
He can hardly speak,v agam achuk gu ka jabchin ma
See you,nom kaare
arbor,daalo
