English,Kokborok
"But if the slave survives a day or two, he is not to be punished; for the slave is his money.",Tamo khe a seleng salsa eba salnwi jora thangwi tong khe bo majra ma chána nang glak; tamni hwn khe bini seleng wng kha bo bai paijak.
"“When men strive together, and hurt a woman with child, so that there is a miscarriage, and yet no harm follows, the one who hurt her shall be fined, according as the woman's husband shall lay upon him; and he shall pay as the judges determine.","“Bororok bú lai tok lai wng phuru sak kupulung bwrwi khoroksa bujagwi bini okni bwsa chokhrai kha, phiya aswk sago dera li ya hwn khe, a bwrwini bwsai bono sanmani swk tei buj thumnairok chongma swkno suwi ma rwnai.”"
"If any harm follows, then you shall give life for life,","Tumungno mungsa swk dera khe hakhe langmani bagwi langma,"
"eye for eye, tooth for tooth, hand for hand, foot for foot,","mokolni bagwi mokol, buani bagwi bua, yakni bagwi yak, yakungni bagwi yakung,"
"burn for burn, wound for wound, stripe for stripe.","sókmani khe sókjaknai, kwsani bagwi kwsa tei swprakma bagwi swprakjakna nangnai."
"“When a man strikes the eye of his slave, male or female, and destroys it, he shall let the slave go free for the eye's sake.","“Khoroksa swk bo bini selengsa eba selengjwkno mokolo bu khe tei bumani bagwi a mokol dera khe, bo mokolni bagwi a selengno ahai’-no phiyógwi ma rwnai.”"
"If he knocks out the tooth of his slave, male or female, he shall let the slave go free for the tooth's sake.","Tumungno bo bini selengni bua swkrai rw khe, seleng eba selengjwk phano wng thung bo a selengno bini bua swkraimani bai haino phiyógwi ma rwnai."
"“When an ox gores a man or a woman to death, the ox shall be stoned, and its flesh shall not be eaten; but the owner of the ox shall be clear.","“Musuk chwla masa khoroksa chwla eba bwrwino phano khaiwi buthar khe, a musukno holong khitarwi ma butharnai tei bini bahanno ma chá glak; phiya ba a musukni nokphang khe yóknai.”"
"But if the ox has been accustomed to gore in the past, and its owner has been warned but has not kept it in, and it kills a man or a woman, the ox shall be stoned, and its owner also shall be put to death.","Tamo khe a musuk chwla swkangrogobo abo haino khai khai-o hwn khe, phiya nokphangno swkango’-no sajak, hai phano bo abono khaui ton ya hwn khe tei abo borok khoroksa swk chwla eba bwrwino phano khaiwi buthar khe a musukno holong khitarwi ma butharnai tei bini a nokphangbo ma butharjaknai."
"If a ransom is laid on him, then he shall give for the redemption of his life whatever is laid upon him.","Phiya rang rwui butharjaknani yókna bagwi lama rwjak khe, bo rang tẃina nangma swk’-no ma rwnai."
"If it gores a man's son or daughter, he shall be dealt with according to this same rule.",Tumungno musuk masa swk khoroksa swk chwla bwsa eba bwrwi bwsano buthar khe omobo abo haino wngnai.
"If the ox gores a slave, male or female, the owner shall give to their master thirty shekels of silver, and the ox shall be stoned.","A musuk mála, seleng eba selengjwkno buthar khe, a musukni nokphang selengni nokphangno, rukphai budul dulthamchi ma rwnai tei a musuk khe holong khitarwi butharjakna nangnai."
"“When a man leaves a pit open, or when a man digs a pit and does not cover it, and an ox or an ass falls into it,","“Borok khoroksa swk hakhor kholop yaui ton khe eba hakhor khurwi abono kholop yaui haino ton khe aro musuk chwla masa phano eba koraichirka phano a hakhoro klai khe,"
"the owner of the pit shall make it good; he shall give money to its owner, and the dead beast shall be his.",A hakhorni nokphang bo a malni nokphangno rang ma rwnai; bo aboni nokphangno rang ma su-ui rwnai tei kwthwi mal khe bini wngnai.”
"“When one man's ox hurts another's, so that it dies, then they shall sell the live ox and divide the price of it; and the dead beast also they shall divide.","“Khoroksani musuk mála tei khoroksanino khaiwi buthar khe, a khoroknwirok butharnai musukno kwthangno phalwi rang banta khe ma na lainai; tei a kwthwini bahanbo banta khe ma na lainai.”"
"Or if it is known that the ox has been accustomed to gore in the past, and its owner has not kept it in, he shall pay ox for ox, and the dead beast shall be his.","Tamo khe a musuk mála omo hai’-no khai khai laiwi butharma tong khe nokphang hui tonma kwrwi hwn khe, bo bini musuk mála kwthang masa rwui bórokno su-ui ma rwnai, tamo khe musuk kwthwi khe bini wngnai."
"“If a man steals an ox or a sheep, and kills it or sells it, he shall pay five oxen for an ox, and four sheep for a sheep. He shall make restitution; if he has nothing, then he shall be sold for his theft.","“Tumungno khoroksa swk borok bo musuk masa swk eba mera phano masa swk khok khe tei bo abono buthar khe eba phal khe bo musuk masani bagwi musuk mak ba tei mera masani bagwi mera mak brwi kiphilwi ma rwnai, a khokmano su-ui rwna bagwi bini mungsa kwrwi hwn khe hakhe bo sakno phalwi rang ma rwnai.”"
"If the stolen beast is found alive in his possession, whether it is an ox or an ass or a sheep, he shall pay double.",Tumungno sikhok nok khurwi hap phuru manjagwi bujak khe tei bujakma bai thwi khe bo thwima bai mungsa majra man glak.
"“If a thief is found breaking in, and is struck so that he dies, there shall be no bloodguilt for him;","Tumungno salo hwn khe hakhe borok butharma swk majra wngnai; tei khokmano su-ui ma rwnai; bini sunani mungsa kwrwi hwn khe, hakhe khokmani bagwi bo ma phaljaknai."
"but if the sun has risen upon him, there shall be bloodguilt for him.","Musuk, korai chirka eba mera khokmarok mungsa swk kwthang manjak khe, bo aboni kusungnwi ma su-ui rwnai."
"“When a man causes a field or vineyard to be grazed over, or lets his beast loose and it feeds in another man's field, he shall make restitution from the best in his own field and in his own vineyard.",Khoroksa swk borok buini mai bwlwngo eba angur bwlwngo musuk mera chá rw khe eba phiyógwi rw khe bo bini mai bwlwngni tei angur bwlwngni kaham kuk bwthái rwui su-ui ma rwnai.
"“When fire breaks out and catches in thorns so that the stacked grain or the standing grain or the field is consumed, he that kindled the fire shall make full restitution.","“Hór bachaui busulwngo hór nang khe, khoroksa swkni mai burung eba mai bwlwng kham khe, hakhe a sóknai borok bo bebak’-no su-ui ma rwnai.”"
"“If a man delivers to his neighbor money or goods to keep, and it is stolen out of the man's house, then, if the thief is found, he shall pay double.","“Khoroksa swk borok bo bini nok arini borok khoroksa swkni thani bini rangrok eba manwirok tisa rwi ton khe, hakhe abo a borokni nokni khokjak khe tei a khoknai sikhok manjak khe, bo aboni kusungnwi su-ui ma rwnai.”"
"If the thief is not found, the owner of the house shall come near to God, to show whether or not he has put his hand to his neighbor's goods.","Phiya a sikhok manjak ya hwn khe a nokni nokphang bo Kaitorni bwskango phaiwi bo a nok arini borokni manwirokno bo da yak rw kha, eba rw ya ma phunuknai."
"“For every breach of trust, whether it is for ox, for ass, for sheep, for clothing, or for any kind of lost thing, of which one says, ‘This is it,’ the case of both parties shall come before God; he whom God shall condemn shall pay double to his neighbor.","“Su-ui rwna khe omo hai wngnai, musuk chwla phano wng thung, korai chirkani bagwi phano wng thung, merani bagwi phano, rí-chumrokni bagwi phano eba mungsa swk manwi kwmamarokni bagwi phano wng thung, omono a kwmama manwi hwnwi sa khe, manjaknai bai nokphang bórok kwnwnwi’-no Kaitorni bwskango ma phainai; Kaitor bai majra berjaknai borok bo’-no bini nok arini borokno kusungnwi bára khe su-ui ma ranai.”"
"“If a man delivers to his neighbor an ass or an ox or a sheep or any beast to keep, and it dies or is hurt or is driven away, without any one seeing it,","“Tumungno khoroksa swk borok bini nok arini borokno korai chirka phano eba musuk chwla phano eba mera phano mungsa swk mal-mata tonna bagwi rw khe tei abo nuk ya sini’-no thwi khe eba bujak khe, eba swkwma kha hwn khe,"
"an oath by the Lord shall be between them both to see whether he has not put his hand to his neighbor's property; and the owner shall accept the oath, and he shall not make restitution.","hakhe bo bini nokphangni manwi yak da rw rw ya sijakna bagwi a khoroknwirokni bisingo swmai ma tang lainai, a nokphangni thani swmai ma tangnai hakhe bo su-ui rwna nang glak.”"
"But if it is stolen from him, he shall make restitution to its owner.","Tamo khe abo bini aroni khokjak khe, bo aboni nokphangno su-ui ma rwnai."
"If it is torn by beasts, let him bring it as evidence; he shall not make restitution for what has been torn.","Tumungno abo bolongni manwirok bai uátharjak khe, bo abono tubu-ui ma phunuk phainai, bo a uátharjakmano su-ui rwna nang glak."
"“If a man borrows anything of his neighbor, and it is hurt or dies, the owner not being with it, he shall make full restitution.","“Khoroksa swk bo bini nok arini borokni aroni musuk-toknokrok solok na khe tei abo bujak khe eba thwi khe, nokphang aboni-o mungsa majra kwrwi, bo bebakno su-ui ma rwnai.”"
"If the owner was with it, he shall not make restitution; if it was hired, it came for its hire.",Tumungno nokphang arono tong khe su-ui rwna nang ya; abo keria nama hwn khe abo keriani a rangno suma hai wngnai.
"“If a man seduces a virgin who is not betrothed, and lies with her, he shall give the marriage present for her, and make her his wife.","“Tumungno khoroksa swk kók sẃngjak ya bwrwi siklano belogwi a bwrwini sak tang trwng khe, bo bono káijakmungni hili ma rwnai tei bono’-no hik ma songnai.”"
"If her father utterly refuses to give her to him, he shall pay money equivalent to the marriage present for virgins.","Bwrwini bupha bono rwna soi súk ya khe, bo bwrwi siklano káijakmungni hili ma rwna nangma tẃi’-no ma rwnai."
“You shall not permit a sorceress to live.,“Norok swkal kókmung kwrwngrokno kwthang ta ton di.”
“Whoever lies with a beast shall be put to death.,“Khoroksa swk borok mal-matarok bai sak gwdalnairok ma butharjaknai.”
"“Whoever sacrifices to any god, save to the Lord only, shall be utterly destroyed.",“Subraiyungno karwi tei kubun mwtairokni thani ratharwi yapharnairok sokomorjak suknai.”
"“You shall not wrong a stranger or oppress him, for you were strangers in the land of Egypt.","“Norok buini hani bororokni hamya ta khlai di eba bono ta kusup di, tamni hwn khe norokbo salsa ha Ijibo buini borok tongmani.”"
You shall not afflict any widow or orphan.,Norok khoroksa randijwkmarokno phano eba ma pha kwrwirokno ta sátok di.
"If you do afflict them, and they cry out to me, I will surely hear their cry;",Norok bórokno sátok khe tei ani thani kap khe ang bórokni kapmano khnanai;
"and my wrath will burn, and I will kill you with the sword, and your wives shall become widows and your children fatherless.",hakhe ang joliui tung phlainai tei ang norokno seng bai butharnai hakhe nihiksong randi wngnai tei nwsarok bupha kwrwi wngnai.
"“If you lend money to any of my people with you who is poor, you shall not be to him as a creditor, and you shall not exact interest from him.","Nwng norokni bisingni, ani bororokni khoroksa swk bigrano rang solok rw khe, norok lakai rwnairok hai ta wng di, bini thani rangni yagulo rangni bwsa ta na di."
"If ever you take your neighbor's garment in pledge, you shall restore it to him before the sun goes down;",Tumungno nwng norokni bisingni khoroksa swkni rírokno mungsa swkni kók khaui na khe abono sal tháng ya sini’-no kiphilwi rw di;
"for that is his only covering, it is his mantle for his body; in what else shall he sleep? And if he cries to me, I will hear, for I am compassionate.","tamni hwn khe, bini sago kannani bagwi a rí kangsa susuk ja se, bo tamo bai thu janai? Bo ani thani kap khe, ang khnanai tamni hwn khe ang wng kha khairokma gwnang."
"“You shall not revile God, nor curse a ruler of your people.","“Nwng Kaitorno ta kebeng di eba norokni, bororokni tẃiphangrokno ta swrai di."
"“You shall not delay to offer from the fulness of your harvest and from the outflow of your presses.
“The first-born of your sons you shall give to me.","“Norokni maichlamni tei mai rwbamni mairokni, angur pheremani bwtwirokni rwnani ta ler di.
“Nini swkang sakrano ano ma rwnai.”"
You shall do likewise with your oxen and with your sheep: seven days it shall be with its dam; on the eighth day you shall give it to me.,"Norokni mal-matarokno tei meraroknobo abo hai’-no khlai di. Bumasong bai khe bórokno nokha salsni jora ton di, salcharni salo khe ani thani rw di."
“You shall be men consecrated to me; therefore you shall not eat any flesh that is torn by beasts in the field; you shall cast it to the dogs.,“Norok ani bagwi khalwi borok kwthar ma wngnai; abo bai’-no norok bolongni manwirok bai hapharo uátharjak muihanrokno ta chá di; abórokno sẃino chá rw di.”
"“You shall not utter a false report. You shall not join hands with a wicked man, to be a malicious witness.","“Nwng tatal kók auai ta khlai di, nwng borok cha yarok bai kwthaui tatal kók ta sachru di.”"
"You shall not follow a multitude to do evil; nor shall you bear witness in a suit, turning aside after a multitude, so as to pervert justice;","Samung hamya tangna bagwi norok borok kwbángmarokno ta rwkthar di, eba bujsóino cha ya khlaina bagwi borok kwbángmarok bai pal khe kók tatal ta sa chru di."
nor shall you be partial to a poor man in his suit.,Eba buj khlai thani bigrarokno phikung khe ta nuk di.
"“If you meet your enemy's ox or his ass going astray, you shall bring it back to him.",“Nini arini musuk phano eba bini korai chirka phano yógwi thángma nuk khe nwng abono romwi bini thani kiphilwi rw phai di.”
"If you see the ass of one who hates you lying under its burden, you shall refrain from leaving him with it, you shall help him to lift it up.","Nono naislernaini koraichirka poja hilik tẃiwi klai tongmani nuk khe, nwng muchung ya phano abono tisaui sochaui rw di; haino nugwi lái ta tháng di."
“You shall not pervert the justice due to your poor in his suit.,Kwrwisa borok bujni bagwi tháng khe bono sói khe buj khlai ya ta wng di.
"Keep far from a false charge, and do not slay the innocent and righteous, for I will not acquit the wicked.","Tatal khe majra bermarok bai hakchal khe tong di, borok sóino tei majra kwrwino haino ta buthar di, tamni hwn khe borok hamyano ang phiyók ya."
"And you shall take no bribe, for a bribe blinds the officials, and subverts the cause of those who are in the right.","Norok rang ta chá di, abo buj thumnairokno mokol nuk ya khlai-o tei abo borok sóirokno bujsói man thani dera rw-o."
"“You shall not oppress a stranger; you know the heart of a stranger, for you were strangers in the land of Egypt.",“Norok buini hani bororokno ta sátok di. Norok buini hani bororokni bwkhano saui mano tamni hwn khe norokbo salsa ha Ijibo buini hani borokno tongmani.”
“For six years you shall sow your land and gather in its yield;,“Bisidok cho yaui norok norokni hapharo mai khul khlai di tei manma jora tẃi bebakno thumwi rúng di.
"but the seventh year you shall let it rest and lie fallow, that the poor of your people may eat; and what they leave the wild beasts may eat. You shall do likewise with your vineyard, and with your olive orchard.","Tamo khe bisisnini bisi-o khe bathak di, aro karwi kabumano mungsano bo ta ra di. Norokni bisingni kwrwirok ma chána twi khe tei tong rwkma bárarokno bolongni mal-matarok chá thung. Nini angur bwlwngnobo abo haino khlai di tei Olib buphangroknobo haino khlai di.”"
"“Six days you shall do your work, but on the seventh day you shall rest; that your ox and your ass may have rest, and the son of your bondmaid, and the alien, may be refreshed.","“Nokha Salsni-o nokha saldok samung tang si di, abo hai khe nini samung tangnai selengrok, buini hani bororok lenglaui mannai. Nini musuk tei korai chirkarokbo lenglaui mannai."
"Take heed to all that I have said to you; and make no mention of the names of other gods, nor let such be heard out of your mouth.",“Norok ang samani bebakno khna di. Tei kubun mwtairokni mung ta na di; bórokni mungrokno norokni khukni ta khna thung.”
"“Three times in the year you shall keep a feast to me.""",“Ani mungwi bisi-o uáitham chámung ter ma tẃinai.”
"You shall keep the feast of unleavened bread; as I commanded you, you shall eat unleavened bread for seven days at the appointed time in the month of Abib, for in it you came out of Egypt. None shall appear before me empty-handed.","Norok auang bánglani terno ma tẃinai. Ang norokno dagi-o Abib talni chongjak jora-o norok salsni jora auang bángla ma chánai, norok a talo’-no ha Ijipni yógwi phai-o. Khoroksa phano yak bukcha khe ani thani phai man glak."
"You shall keep the feast of harvest, of the first fruits of your labor, of what you sow in the field. You shall keep the feast of ingathering at the end of the year, when you gather in from the field the fruit of your labor.","Norok ramani terno khlai di; norokni hapharo sarmani tháiskangni mai-khul kwtalni terno ma tẃinai.
Norok thansa khe raui pái phuru khe abono khlai di; norok bwtháirok thumwi pái khebo khlai di."
Three times in the year shall all your males appear before the Lord God.,Bisi-o uáitham norokni chwla bwsarok Subraiyung Kaitorno khulumna bagwi ma phainai.
"“You shall not offer the blood of my sacrifice with leavened bread, or let the fat of my feast remain until the morning.",“Norok mui ratharwi thẃi yaphar phuru khe chuan buljak auang ano ta yaphar di. O terni jora-o ani thani ratharwi yapharmani muini buphamrokno teini phung jora ma ton glak.
"“The first of the first fruits of your ground you shall bring into the house of the Lord your God.
“You shall not boil a kid in its mother's milk.","“Norokni tháiskangni swkangni bwtháino norok Subraiyung Kaitorni thani ma tubunai.”
“Abuk twi cháui tong kho omo hai mera eba punsarokno norok ta song di.”"
"“Behold, I send an angel before you, to guard you on the way and to bring you to the place which I have prepared.","“Nai di, ang norokni bagwi tiyar khlaima ha-o tubuna bagwi tei lama-o tháng phuru norokno mwrwkna bagwi norokni slái swkango khe khoroksa suarino rwui rohornai.”"
"Give heed to him and hearken to his voice, do not rebel against him, for he will not pardon your transgression; for my name is in him.","Bono mokol kai di, bini kókrokno khna di. Bono ta kebeng di, ang se bono rohoro bo norok cha ya khlaimano nakar glak."
"“But if you hearken attentively to his voice and do all that I say, then I will be an enemy to your enemies and an adversary to your adversaries.","Phiya norok bini kók khna khe tei ang dagima hai bebak samung khlai khe, ang norokni bebak arirokni ari tei kebengnairokno kebengnai wngnai."
"“When my angel goes before you, and brings you in to the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hivites, and the Jebusites, and I blot them out,","Ani suari norokni slái swkang swkang thángwi norokno Amorsarokni ha-o tlangnai; Hitisarokno, Peressarokno tei Kanansarokno, Hibisarokno, Jebussarokno sokomornai."
"you shall not bow down to their gods, nor serve them, nor do according to their works, but you shall utterly overthrow them and break their pillars in pieces.",Bórokni mwtairokni thani khorok ta bom di eba bórokno tabo ta mon di tei bórokni samung khlaima tẃi ta khlai di. Bórokni holong thonglarokno swbai khibi di.
"You shall serve the Lord your God, and I will bless your bread and your water; and I will take sickness away from the midst of you.","Ang norokni Subraiyung Kaitorno mon di, ang norokno mai, twi rwui hamari rwnai tei norokni kulum kwsarokno naui páinai."
None shall cast her young or be barren in your land; I will fulfil the number of your days.,Norokni bwrwirok khoroksabo bwsa chokhrai glak tei banjibo tong glak; ang norokni umorno kasuk rwnai.
"I will send my terror before you, and will throw into confusion all the people against whom you shall come, and I will make all your enemies turn their backs to you.","Norokni slái swkang ang bororokni thani kirimung rwi rohorwi sikirinai, norok choba khlaimani bebak bororokno ang kwmam rwnai, ang norokni arirokno uphil rwnai tei norokni bwskangni khár rwui rohornai."
"And I will send hornets before you, which shall drive out Hivite, Canaanite, and Hittite from before you.","Ang norokni arirokno tong kesebo khiklainai; ang norokni bwskango tháng khe Hibisarokno, Kanansarokno tei Hitisarokno khár rwui rohornai."
"I will not drive them out from before you in one year, lest the land become desolate and the wild beasts multiply against you.",Bolongni mal-matarok akarnai se tei habo komor ya tẃi khe ang bórokno nokha bisani bisingo rwui rohor glak.
"Little by little I will drive them out from before you, until you are increased and possess the land.","Norok erwi hano yago naui amanna wng ya sak, ang bórokno kisa kisa khe norokni bwskangni nornai."
"And I will set your bounds from the Red Sea to the sea of the Philistines, and from the wilderness to the Euphrates; for I will deliver the inhabitants of the land into your hand, and you shall drive them out before you.","Ang norokni hano phuarnai. Twijlang kwchakni simi Philistiasarokni twijlang jora tei hasinglwngni simi Uphratis jora, ang norokni ha-o tongnairokno norokni yago rwnai tei norok bórokno norokni bwskangni riphrigwi rohornai."
You shall make no covenant with them or with their gods.,Norok bórok bai tei bórokni mwtairok bai kók ta kha lai di.
"They shall not dwell in your land, lest they make you sin against me; for if you serve their gods, it will surely be a snare to you.”","Bórokno norokni ha-o ta tong rw di; wng ya khe bórok norokno ani thani sumsok khlai rwnai. Norok bórokni mwtairokno mon khe, abo norokni bagwi uarai se wngnai."
"And he said to Moses, “Come up to the Lord, you and Aaron, Nadab, and Abihu, and seventy of the elders of Israel, and worship afar off.","Hakhe bo Musino hai hwnwi sa kha, “Hathái saka-o nwng bai Aron, Nadab bai Abihu, tei khorok snichi Israilni tẃiphangrok ani thani phai di tei hakchalo tong twtwi’-no ano khulum di."
"Moses alone shall come near to the Lord; but the others shall not come near, and the people shall not come up with him.”","Musi simino Subraiyungni samo phai di; tamo khe kubunrok samo ta phai di, bororokbo bo bai baksa hathái saka-o ta phai thung.”"
"Moses came and told the people all the words of the Lord and all the ordinances; and all the people answered with one voice, and said, “All the words which the Lord has spoken we will do.”","Musi phai kha, Hakhe bororokno Subraiyung samani bebak kókrokno tei dagimarokno saui khna rw kha; bebak bororok’-no khorang baksa khe hai hwnwi sa lai kha, “Subraiyung samani bebak kókrok sa tẃi’-no chwng khlainai.”"
"And Moses wrote all the words of the Lord. And he rose early in the morning, and built an altar at the foot of the mountain, and twelve pillars, according to the twelve tribes of Israel.",Hakhe Musi Subraiyungni bebak kókrokno swiwi narwk kha. Bo aidrobo bachaui hatháini yaphango háyá kaisa snam kha tei chinwi thongla Israil bosongni chinwino rwgwi tisa kha.
"And he sent young men of the people of Israel, who offered burnt offerings and sacrificed peace offerings of oxen to the Lord.",Tei bo Israilni chwla siklarokno rwui rohor khe bórok sógwi yaphar kha tei Subraiyungni thani khakchangni yapharmungni musuk chwla ratharwi yaphar kha.
"And Moses took half of the blood and put it in basins, and half of the blood he threw against the altar.",Musi kisa thẃirokni naui dangai-o khe ton kha tei baksa khe háyá-o sarwi rw kha.
"Then he took the book of the covenant, and read it in the hearing of the people; and they said, “All that the Lord has spoken we will do, and we will be obedient.”","Ulo khe bo swmaini bijapno naui lukuno poriui khna rw kha; hakhe bórok hai hwnwi sa lai kha, “Subraiyung sama haino chwng bebakno khlainai tei chwng bebak kókno khnaui tongnai.”"
"And Moses took the blood and threw it upon the people, and said, “Behold the blood of the covenant which the Lord has made with you in accordance with all these words.”","Tei Musi thẃi naui bororokni saka-o sarwi rwui hai hwnwi sa kha, “Nai di, Swmaini o thẃino, omono Subraiyung o kókno tẃiwi kók rw-o.”"
"Then Moses and Aaron, Nadab, and Abihu, and seventy of the elders of Israel went up,","Hakhe, Musi, Aron, Nadab tei Abihu tei Israilni khoroksnichirok kasaui tháng lai kha,"
"and they saw the God of Israel; and there was under his feet as it were a pavement of sapphire stone, like the very heaven for clearness.",Bórok Israilni Kaitorno nuk kha; bini yakung yaphango holong kwkhrang saphir hai tei chuknoha chẃngma hai’-no kwchẃng.
"And he did not lay his hand on the chief men of the people of Israel; they beheld God, and ate and drank.","Tei bo Israilni bokhorokrokni saka-o yak rw li ya; bórok Kaitorno nuk kha tei chá lai kha, nung lai kha."
"The Lord said to Moses, “Come up to me on the mountain, and wait there; and I will give you the tables of stone, with the law and the commandment, which I have written for their instruction.”","Subraiyung Musino hai hwnwi sa kha, “Nwng hathái saka jora kasaui ani thani phai di tei aro naisingwi tong di; ang nono Kerong tei dagimungrok swijak holong bwlap rwnai.” Abo ang bórokno phrwngna bagwi swimani."
"So Moses rose with his servant Joshua, and Moses went up into the mountain of God.",Hakhe bini seleng Josua bai bacha kha tei Musi Kaitorni hathái-o kasaui tháng kha.
"And he said to the elders, “Tarry here for us, until we come to you again; and, behold, Aaron and Hur are with you; whoever has a cause, let him go to them.”","Musi okrarokno hai hwnwi sa kha, “Chwng norokni thani kiphilwi phai ya sak oro naisingwi tong di; ‘Nai di, Aron bai Hur norok bai tong rwk kha; norokni khoroksa swkni kók bángmarok tong khe a borok bórokni thani tháng thung.’ ”"
"Then Moses went up on the mountain, and the cloud covered the mountain.",Hakhe Musi hathái-o kasaui tháng khe chumui hatháino kobol kha.
"The glory of the Lord settled on Mount Sinai, and the cloud covered it six days; and on the seventh day he called to Moses out of the midst of the cloud.","Sinai hathái-o Subraiyungni chẃngsacha tong phai kha, abo nokha saldok jora chumui bai kobolwi tong kha; ulo nokha salsnini salo khe Kaitor chumui bisingni Musino ring kha."
Now the appearance of the glory of the Lord was like a devouring fire on the top of the mountain in the sight of the people of Israel.,"Tabuk Israilrok nuk kha hathái bokhorogo, Subraiyungni chẃngsacha, monoknai hór hai khe nukjak kha."
"And Moses entered the cloud, and went up on the mountain. And Moses was on the mountain forty days and forty nights.",Musi chumui bisingo habwi tháng kha tei hathái kuchugo kasaui kha. Musi aro nokha sal brwichi tei horbrwichi tongwi kha.
"The Lord said to Moses,","Subraiyung Musino hai hwnwi sa kha,"
"“Speak to the people of Israel, that they take for me an offering; from every man whose heart makes him willing you shall receive the offering for me.","“Israil bororokno sa di, bórok ani thani yapharmung tubu thung; bebak bororok bwkha-o muchungma tẃi yapharmano nwng ani bagwi yachak di."
"And this is the offering which you shall receive from them: gold, silver, and bronze,","Tei omo hai yapharmarokno nwng bórokni aroni yachak di; rangchak, rukphai, pitol,"
"blue and purple and scarlet stuff and fine twined linen, goats' hair,","lilon kaham, kwkhrang, kormo tei kochual; tei pun buikhumuni rí takjak,"
"tanned rams' skins, goatskins, acacia wood,",mera bukur kwchak khlaijak; pun bukur kaham; akaia buphang;
"oil for the lamps, spices for the anointing oil and for the fragrant incense,","Chatirokni bagwi thok, phuljaknai thokni bagwi mosla tei satrai sóknani bagwi motom manwi."
"onyx stones, and stones for setting, for the ephod and for the breastpiece.","Oniks holongrok, ephod tei pannani holongrok tei khaklapni bagwi rí thepajaknairok."
"And let them make me a sanctuary, that I may dwell in their midst.",Tei ang bórokni bisingo tongwi manna tẃi khe ani bagwi nokthar tang thung.
"According to all that I show you concerning the pattern of the tabernacle, and of all its furniture, so you shall make it.",Ang nono phunukma hai kheno nini rínok tei aroni manwi-khwnwirokno norok ma snamnai.”
"“They shall make an ark of acacia wood; two cubits and a half shall be its length, a cubit and a half its breadth, and a cubit and a half its height.","“Akaia buphangni bokhok kaisa ma tonnai; lokma khe 45 inches kolok, 27 inches kuar tei 27 inches kuchuk ma wngnai."
"And you shall overlay it with pure gold, within and without shall you overlay it, and you shall make upon it a molding of gold round about.",Bisingno rangchak kaham bai ma khobnai tei saka-obo rangchak bai ma khobnai tei buchugo gandar kitingwi’-no rangchak ma khobnai
"And you shall cast four rings of gold for it and put them on its four feet, two rings on the one side of it, and two rings on the other side of it.","bwlamni bagwi aro rangchakni bukhunju kaibrwi ma thepanai tei yakungbo kongbrwi ma snamnai, babainwi-o bukhunju kainwi ma wngnai."
"You shall make poles of acacia wood, and overlay them with gold.","Akaia buphangni balphung ma snamnai, abono bo rangchak bai ma khobnai,"
"And you shall put the poles into the rings on the sides of the ark, to carry the ark by them.","tei a balphungrokno a bokhokni babainwio’-no ma soranai,"
The poles shall remain in the rings of the ark; they shall not be taken from it.,a balphungrokno a bukhunju’-ono ma tonnai; tei abono ma sokok glak.
And you shall put into the ark the testimony which I shall give you.,Aboni ulo khe a bokhokni bisingo ang rwna hwnmani a swmaini kóktháino ma tonnai.
"And you shall make two cherubim of gold; of hammered work shall you make them, on the two ends of the mercy seat.","Hakhe nwng rangchakni maknwi cherub ma snamnai, abórokno rangchak tokhrubwi ma snamnai, abo khairokma achukthayungni yang yangni buchuk kwnwi-o ma tonnai."
"Make one cherub on the one end, and one cherub on the other end; of one piece with the mercy seat shall you make the cherubim on its two ends.",Babaisa-o cherub masa tei babaisa-o tei masa cherubno ma tonnai; a cherub masa tei masa yang babai tei ayang babai khairokma achukthayungo ma tongnai.
"The cherubim shall spread out their wings above, overshadowing the mercy seat with their wings, their faces one to another; toward the mercy seat shall the faces of the cherubim be.",A cherubni bwkrangrok khe saka bwkhak pheheljak wngnai tei bórokni bwkrangrok bai khe a khairokma achukthayungno kholopnai. Bórokni mwkhang khe kaisa bai tei kaisa khe a khairokma achukthayungni bwkhak khe nahar laijak.
And you shall put the mercy seat on the top of the ark; and in the ark you shall put the testimony that I shall give you.,Tei nwng a khairokma achukthayungno a bokhokni saka-o ma tonnai; tei aboni bisingo khe ang rwna hwnmani a swmaino ton di.
"There I will meet with you, and from above the mercy seat, from between the two cherubim that are upon the ark of the testimony, I will speak with you of all that I will give you in commandment for the people of Israel.",Ang nwng bai aro malainai tei a khairokma achukthayungni saka-o cherub maknwini kwcharo tongwi ang nono Israil bororokni bagwi ani bebak dagimungrokno rwnai.
"“And you shall make a table of acacia wood; two cubits shall be its length, a cubit its breadth, and a cubit and a half its height.",“Tei nwng akaia buphangni songphang kaisa snam di abo sentimitar
,"kolok, sentimitar"
,kuar tei sentimitar
"You shall overlay it with pure gold, and make a molding of gold around it.",Nwng abono rangchak kaham bai khop di tei kitingwibo rangchak bai khop di.
"And you shall make around it a frame a handbreadth wide, and a molding of gold around the frame.",Tei nwng mili mitar
,"kuar khlai bokhong ma snamnai, a bokhongno rangchak bai ma khobnai,"
"And you shall make for it four rings of gold, and fasten the rings to the four corners at its four legs.","tei aboni bagwi nwng baljaknai kaibrwi rangchakni bukhunju ma snamnai, yakung kongbrwi tongma a busup subrwi-o abórokno ton di."
